house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent,rent_per_sqft
"4 BHK Flat for Rent in 1A Block Koramangala, Bangalore",1A Block Koramangala,Bengaluru,2100.0,4,4,3,Semi-Furnished,83.0,180000.0,85.71
"3 BHK Flat for Rent in Block 1st East Jayanagar, Bangalore",1St Block East,Bengaluru,1100.0,3,2,0,Unfurnished,33.0,36000.0,32.73
"3 BHK Flat for Rent in A Narayanapura, Mahadevapura, Bangalore",A Narayanapura,Bengaluru,990.0,3,3,2,Semi-Furnished,71.0,70000.0,70.71
3 BHK House for Rent in Abbaiah Reddy Layout Bangalore,Abbaiah Reddy Layout,Bengaluru,1400.0,3,2,0,Semi-Furnished,18.0,25000.0,17.86
1 BHK House for Rent in Abbigere Bangalore,Abbigere,Bengaluru,650.0,1,1,0,Unfurnished,12.0,7500.0,11.54
2 BHK House for Rent in Abbigere Bangalore,Abbigere,Bengaluru,650.0,2,1,0,Unfurnished,8.0,5000.0,7.69
2 BHK House for Rent in Abbigere Bangalore,Abbigere,Bengaluru,600.0,2,2,0,Unfurnished,16.0,9500.0,15.83
2 BHK House for Rent in Abbigere Bangalore,Abbigere,Bengaluru,1200.0,2,2,0,Semi-Furnished,19.0,23000.0,19.17
"2 BHK Flat for Rent in Abbigere, Bangalore",Abbigere,Bengaluru,1144.0,2,2,0,Unfurnished,27.0,31000.0,27.1
"2 BHK Flat for Rent in Abbigere, Bangalore",Abbigere,Bengaluru,1268.0,2,2,0,Furnished,28.0,35000.0,27.6
3 BHK House for Rent in Abbigere Bangalore,Abbigere,Bengaluru,1100.0,3,4,2,Furnished,18.0,20000.0,18.18
"4 BHK Villa for Rent in Adarsh Palm Retreat, Bellandur Bangalore",Adarsh Palm Retreat,Bengaluru,3600.0,4,4,3,Semi-Furnished,67.0,240000.0,66.67
1 BHK House for Rent in Aditya Nagar JP Nagar Bangalore,Aditya Nagar,Bengaluru,2100.0,1,3,3,Semi-Furnished,17.0,35000.0,16.67
1 BHK House for Rent in Adugodi Bangalore,Adugodi,Bengaluru,550.0,1,1,0,Semi-Furnished,16.0,9000.0,16.36
1 BHK House for Rent in Adugodi Bangalore,Adugodi,Bengaluru,450.0,1,1,0,Semi-Furnished,22.0,10000.0,22.22
1 BHK House for Rent in Adugodi Bangalore,Adugodi,Bengaluru,500.0,1,1,0,Semi-Furnished,22.0,11200.0,22.4
1 BHK House for Rent in A Block AECS Layout Bangalore,Aecs Layout Block A,Bengaluru,1000.0,1,1,0,Semi-Furnished,24.0,24000.0,24.0
1 BHK House for Rent in Block D AECS Layout Bangalore,Aecs Layout Block D,Bengaluru,500.0,1,1,0,Semi-Furnished,40.0,20000.0,40.0
"1 BHK House for Rent in Aecs Layout-Singasandra, Singasandra, Hosur Road Bangalore",Aecs Layout-Singasandra,Bengaluru,600.0,1,1,0,Semi-Furnished,17.0,10000.0,16.67
"2 BHK House for Rent in Aecs Layout-Singasandra, Singasandra, Hosur Road Bangalore",Aecs Layout-Singasandra,Bengaluru,900.0,2,2,0,Semi-Furnished,83.0,75000.0,83.33
4 BHK Villa for Rent in Agrahara Badavane Bangalore,Agrahara Layout,Bengaluru,2900.0,4,4,4,Semi-Furnished,22.0,65000.0,22.41
"2 BHK Flat for Rent in AK Colony Domlur, Bangalore",Ak Colony Domlur,Bengaluru,1400.0,2,2,3,Furnished,64.0,90000.0,64.29
"2 BHK House for Rent in Akshya Nagar, Ramamurthi Nagar Bangalore",Akshya Nagar,Bengaluru,1000.0,2,2,0,Furnished,19.0,18500.0,18.5
"2 BHK House for Rent in Akshya Nagar, Ramamurthi Nagar Bangalore",Akshya Nagar,Bengaluru,1100.0,2,2,0,Unfurnished,20.0,22000.0,20.0
"3 BHK Villa for Rent in Akshya Nagar, Ramamurthi Nagar Bangalore",Akshya Nagar,Bengaluru,2650.0,3,3,4,Unfurnished,15.0,40000.0,15.09
"2 BHK Flat for Rent in Amarjyoti Layout, Bangalore",Amarjyoti Layout-Domlur,Bengaluru,1100.0,2,2,0,Furnished,44.0,48000.0,43.64
